Log start on,2019-08-09 17:44:32
Feature,Gyroscope
Nodes,SWAP001 @30204D, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
09/08/2019 17:44:32.135,7,SWAP001 @30204D,34253,A3FC7606EDFF,-86.1,165.4,-1.9,
09/08/2019 17:44:32.171,43,SWAP001 @30204D,34283,7CF98E064A00,-166.8,167.8,7.4,
09/08/2019 17:44:32.171,43,SWAP001 @30204D,34273,3EFA7D062A00,-147.4,166.1,4.2,
09/08/2019 17:44:32.170,42,SWAP001 @30204D,34263,87FB85060700,-114.5,166.9,0.7,
09/08/2019 17:44:32.178,50,SWAP001 @30204D,34293,B8F90D073300,-160.8,180.5,5.1,
09/08/2019 17:44:32.179,51,SWAP001 @30204D,34303,1BFCF6070000,-99.7,203.8,0.0,
09/08/2019 17:44:32.215,87,SWAP001 @30204D,34313,34FFFB083800,-20.4,229.9,5.6,
09/08/2019 17:44:32.216,88,SWAP001 @30204D,34323,950155095200,40.5,238.9,8.2,
09/08/2019 17:44:32.218,90,SWAP001 @30204D,34343,4F006406F200,7.9,163.6,24.2,
09/08/2019 17:44:32.216,88,SWAP001 @30204D,34333,6C0260085700,62.0,214.4,8.7,
09/08/2019 17:44:32.261,133,SWAP001 @30204D,34353,13FF4A040402,-23.7,109.8,51.6,
09/08/2019 17:44:32.306,178,SWAP001 @30204D,34363,3F008E011E02,6.3,39.8,54.2,
09/08/2019 17:44:32.307,179,SWAP001 @30204D,34373,8900AA035B01,13.7,93.8,34.7,
09/08/2019 17:44:32.351,223,SWAP001 @30204D,34383,B6FF43031801,-7.4,83.5,28.0,
09/08/2019 17:44:32.352,224,SWAP001 @30204D,34403,A3FF2A014A00,-9.3,29.8,7.4,
09/08/2019 17:44:32.352,224,SWAP001 @30204D,34393,20FFF9031500,-22.4,101.7,2.1,
09/08/2019 17:44:32.356,228,SWAP001 @30204D,34433,ACFFA4FEE200,-8.4,-34.8,22.6,
09/08/2019 17:44:32.360,232,SWAP001 @30204D,34453,2BFF6EFD5D01,-21.3,-65.8,34.9,
09/08/2019 17:44:32.356,228,SWAP001 @30204D,34423,8EFF32FFDC00,-11.4,-20.6,22.0,
09/08/2019 17:44:32.357,229,SWAP001 @30204D,34443,89FF2FFE0801,-11.9,-46.5,26.4,
09/08/2019 17:44:32.352,224,SWAP001 @30204D,34413,C6FF9CFFC300,-5.8,-10.0,19.5,
09/08/2019 17:44:32.361,233,SWAP001 @30204D,34483,4CFE28FBD701,-43.6,-124.0,47.1,
09/08/2019 17:44:32.444,316,SWAP001 @30204D,34523,61FF46F8A001,-15.9,-197.8,41.6,
09/08/2019 17:44:32.444,316,SWAP001 @30204D,34533,4D009DF6DE01,7.7,-240.3,47.8,
09/08/2019 17:44:32.443,315,SWAP001 @30204D,34513,00FF0CF9A701,-25.6,-178.0,42.3,
09/08/2019 17:44:32.446,318,SWAP001 @30204D,34543,B100DBF50A02,17.7,-259.7,52.2,
09/08/2019 17:44:32.443,315,SWAP001 @30204D,34493,7DFE85FAD601,-38.7,-140.3,47.0,
09/08/2019 17:44:32.443,315,SWAP001 @30204D,34503,B9FED5F9C301,-32.7,-157.9,45.1,
09/08/2019 17:44:32.447,319,SWAP001 @30204D,34553,180144F52902,28.0,-274.8,55.3,
09/08/2019 17:44:32.448,320,SWAP001 @30204D,34573,DF0132F41A02,47.9,-302.2,53.8,
09/08/2019 17:44:32.487,359,SWAP001 @30204D,34593,DC0212F3F301,73.2,-331.0,49.9,
09/08/2019 17:44:32.487,359,SWAP001 @30204D,34583,53029AF30802,59.5,-317.4,52.0,
09/08/2019 17:44:32.488,360,SWAP001 @30204D,34603,84039AF2E001,90.0,-343.0,48.0,
09/08/2019 17:44:32.488,360,SWAP001 @30204D,34613,4D043BF2CE01,110.1,-352.5,46.2,
09/08/2019 17:44:32.532,404,SWAP001 @30204D,34633,7F0553F1AD01,140.7,-375.7,42.9,
09/08/2019 17:44:32.533,405,SWAP001 @30204D,34643,880620F16901,167.2,-380.8,36.1,
09/08/2019 17:44:32.532,404,SWAP001 @30204D,34623,EC04C8F1C801,126.0,-364.0,45.6,
09/08/2019 17:44:32.533,405,SWAP001 @30204D,34653,E606A6F03C01,176.6,-393.0,31.6,
09/08/2019 17:44:32.537,409,SWAP001 @30204D,34663,4E0639F01F01,161.4,-403.9,28.7,
09/08/2019 17:44:32.574,446,SWAP001 @30204D,34683,B50647F1E7FF,171.7,-376.9,-2.5,
09/08/2019 17:44:32.574,446,SWAP001 @30204D,34673,260683F0A500,157.4,-396.5,16.5,
09/08/2019 17:44:32.576,448,SWAP001 @30204D,34703,C40711F3F2FE,198.8,-331.1,-27.0,
09/08/2019 17:44:32.576,448,SWAP001 @30204D,34693,9D0747F209FF,194.9,-351.3,-24.7,
09/08/2019 17:44:32.629,500,SWAP001 @30204D,34713,B103F8F4CC01,94.5,-282.4,46.0,
09/08/2019 17:44:32.629,501,SWAP001 @30204D,34733,FCF993F96700,-154.0,-164.5,10.3,
09/08/2019 17:44:32.629,501,SWAP001 @30204D,34743,E2F964FC0BFF,-156.6,-92.4,-24.5,
09/08/2019 17:44:32.629,501,SWAP001 @30204D,34723,74FE1DF72302,-39.6,-227.5,54.7,
09/08/2019 17:44:32.630,502,SWAP001 @30204D,34753,9BFB58FF20FF,-112.5,-16.8,-22.4,
09/08/2019 17:44:32.668,540,SWAP001 @30204D,34773,0DFB7A049CFE,-126.7,114.6,-35.6,
09/08/2019 17:44:32.668,540,SWAP001 @30204D,34763,B0FB05024DFF,-110.4,51.7,-17.9,
09/08/2019 17:44:32.669,541,SWAP001 @30204D,34793,ACFB2107A0FD,-110.8,182.5,-60.8,
09/08/2019 17:44:32.668,540,SWAP001 @30204D,34783,21FB520602FE,-124.7,161.8,-51.0,
09/08/2019 17:44:32.713,585,SWAP001 @30204D,34813,69FEC1028801,-40.7,70.5,39.2,
09/08/2019 17:44:32.713,585,SWAP001 @30204D,34823,9A0437005701,117.8,5.5,34.3,
09/08/2019 17:44:32.713,585,SWAP001 @30204D,34833,6C066D034601,164.4,87.7,32.6,
09/08/2019 17:44:32.712,584,SWAP001 @30204D,34803,F9FAE504DFFE,-128.7,125.3,-28.9,
09/08/2019 17:44:32.714,586,SWAP001 @30204D,34843,CA01B2089801,45.8,222.6,40.8,
09/08/2019 17:44:32.756,628,SWAP001 @30204D,34863,82031E063EFC,89.8,156.6,-96.2,
09/08/2019 17:44:32.756,628,SWAP001 @30204D,34873,3E026C04DFFA,57.4,113.2,-131.3,
09/08/2019 17:44:32.756,628,SWAP001 @30204D,34853,1B016509A1FF,28.3,240.5,-9.5,
09/08/2019 17:44:32.756,628,SWAP001 @30204D,34883,E20020067CFC,22.6,156.8,-90.0,
09/08/2019 17:44:32.802,674,SWAP001 @30204D,34893,7D05D8061DFA,140.5,175.2,-150.7,
09/08/2019 17:44:32.803,675,SWAP001 @30204D,34913,7305200621FD,139.5,156.8,-73.5,
09/08/2019 17:44:32.803,675,SWAP001 @30204D,34933,F0031C05E8FE,100.8,130.8,-28.0,
09/08/2019 17:44:32.803,675,SWAP001 @30204D,34923,7305B7057EFE,139.5,146.3,-38.6,
09/08/2019 17:44:32.803,675,SWAP001 @30204D,34903,370725077DFA,184.7,182.9,-141.1,
09/08/2019 17:44:32.846,718,SWAP001 @30204D,34943,AA005E0458FF,17.0,111.8,-16.8,
09/08/2019 17:44:32.847,719,SWAP001 @30204D,34973,79FCCD02DAFE,-90.3,71.7,-29.4,
09/08/2019 17:44:32.847,719,SWAP001 @30204D,34953,04FFBF0373FF,-25.2,95.9,-14.1,
09/08/2019 17:44:32.847,719,SWAP001 @30204D,34963,A4FD0803E5FE,-60.4,77.6,-28.3,
