Log start on,2019-12-16 18:42:03
Feature,Accelerometer
Nodes,SWAP001 @30204D, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
16/12/2019 18:42:03.870,83,SWAP001 @30204D,162330,C90396003100,969,150,49,
16/12/2019 18:42:03.870,83,SWAP001 @30204D,162310,BF0395002A00,959,149,42,
16/12/2019 18:42:03.870,83,SWAP001 @30204D,162320,C40398002E00,964,152,46,
16/12/2019 18:42:03.870,83,SWAP001 @30204D,162340,CB039B003100,971,155,49,
16/12/2019 18:42:03.916,129,SWAP001 @30204D,162360,C5039B002000,965,155,32,
16/12/2019 18:42:03.915,128,SWAP001 @30204D,162350,C7039A002900,967,154,41,
16/12/2019 18:42:03.920,133,SWAP001 @30204D,162390,D8038E002E00,984,142,46,
16/12/2019 18:42:03.919,132,SWAP001 @30204D,162370,C60396001D00,966,150,29,
16/12/2019 18:42:03.919,132,SWAP001 @30204D,162380,D50392002600,981,146,38,
16/12/2019 18:42:03.961,174,SWAP001 @30204D,162410,CD038B001F00,973,139,31,
16/12/2019 18:42:03.960,173,SWAP001 @30204D,162400,D60392002D00,982,146,45,
16/12/2019 18:42:03.963,176,SWAP001 @30204D,162420,BC0392000300,956,146,3,
16/12/2019 18:42:03.963,176,SWAP001 @30204D,162430,C303A2001500,963,162,21,
16/12/2019 18:42:04.005,218,SWAP001 @30204D,162440,CA03A4002D00,970,164,45,
16/12/2019 18:42:04.008,221,SWAP001 @30204D,162450,CE039E003500,974,158,53,
16/12/2019 18:42:04.009,222,SWAP001 @30204D,162460,D00396002500,976,150,37,
16/12/2019 18:42:04.009,222,SWAP001 @30204D,162480,C9039B002C00,969,155,44,
16/12/2019 18:42:04.009,222,SWAP001 @30204D,162470,CE0395002100,974,149,33,
16/12/2019 18:42:04.049,262,SWAP001 @30204D,162490,C6039A002E00,966,154,46,
16/12/2019 18:42:04.052,265,SWAP001 @30204D,162500,C2038E002E00,962,142,46,
16/12/2019 18:42:04.052,265,SWAP001 @30204D,162510,BF038C002600,959,140,38,
16/12/2019 18:42:04.053,266,SWAP001 @30204D,162520,B9038E001D00,953,142,29,
16/12/2019 18:42:04.095,308,SWAP001 @30204D,162550,D7038B001200,983,139,18,
16/12/2019 18:42:04.095,308,SWAP001 @30204D,162560,DF039C003600,991,156,54,
16/12/2019 18:42:04.095,308,SWAP001 @30204D,162540,CC0389001C00,972,137,28,
16/12/2019 18:42:04.094,307,SWAP001 @30204D,162530,BC0391002000,956,145,32,
16/12/2019 18:42:04.095,308,SWAP001 @30204D,162570,D203A1002500,978,161,37,
16/12/2019 18:42:04.140,353,SWAP001 @30204D,162580,C503A4001F00,965,164,31,
16/12/2019 18:42:04.142,355,SWAP001 @30204D,162600,BD038E001900,957,142,25,
16/12/2019 18:42:04.142,355,SWAP001 @30204D,162590,C0039A002300,960,154,35,
16/12/2019 18:42:04.143,356,SWAP001 @30204D,162610,C90396001A00,969,150,26,
16/12/2019 18:42:04.187,400,SWAP001 @30204D,162630,D0039D002A00,976,157,42,
16/12/2019 18:42:04.188,401,SWAP001 @30204D,162660,C50393002A00,965,147,42,
16/12/2019 18:42:04.187,400,SWAP001 @30204D,162650,CB0392002300,971,146,35,
16/12/2019 18:42:04.187,400,SWAP001 @30204D,162640,D1039C003000,977,156,48,
16/12/2019 18:42:04.185,398,SWAP001 @30204D,162620,D10399002000,977,153,32,
16/12/2019 18:42:04.230,443,SWAP001 @30204D,162670,C60390002300,966,144,35,
16/12/2019 18:42:04.231,444,SWAP001 @30204D,162690,CA038A001400,970,138,20,
16/12/2019 18:42:04.230,443,SWAP001 @30204D,162680,C60381002100,966,129,33,
16/12/2019 18:42:04.231,444,SWAP001 @30204D,162700,CF0395002400,975,149,36,
16/12/2019 18:42:04.275,488,SWAP001 @30204D,162730,CB039A003400,971,154,52,
16/12/2019 18:42:04.275,488,SWAP001 @30204D,162750,C703A4001B00,967,164,27,
16/12/2019 18:42:04.275,488,SWAP001 @30204D,162720,CA0395002F00,970,149,47,
16/12/2019 18:42:04.275,488,SWAP001 @30204D,162740,CA03A1002D00,970,161,45,
16/12/2019 18:42:04.274,487,SWAP001 @30204D,162710,CB0393002E00,971,147,46,
16/12/2019 18:42:04.320,533,SWAP001 @30204D,162770,C403A3000F00,964,163,15,
16/12/2019 18:42:04.320,533,SWAP001 @30204D,162760,C603A3001700,966,163,23,
16/12/2019 18:42:04.320,533,SWAP001 @30204D,162780,CD03A6001E00,973,166,30,
16/12/2019 18:42:04.321,534,SWAP001 @30204D,162790,D403A1002E00,980,161,46,
16/12/2019 18:42:04.410,623,SWAP001 @30204D,162800,D10395003000,977,149,48,
16/12/2019 18:42:04.413,626,SWAP001 @30204D,162810,D00388002900,976,136,41,
16/12/2019 18:42:04.416,629,SWAP001 @30204D,162850,DA038C001700,986,140,23,
16/12/2019 18:42:04.416,629,SWAP001 @30204D,162860,E2038F001E00,994,143,30,
16/12/2019 18:42:04.415,628,SWAP001 @30204D,162830,D70384002100,983,132,33,
16/12/2019 18:42:04.417,630,SWAP001 @30204D,162870,EA0390002400,1002,144,36,
16/12/2019 18:42:04.415,628,SWAP001 @30204D,162820,D30388002600,979,136,38,
16/12/2019 18:42:04.416,629,SWAP001 @30204D,162840,D60385001500,982,133,21,
16/12/2019 18:42:04.422,635,SWAP001 @30204D,162890,F903A0001500,1017,160,21,
16/12/2019 18:42:04.453,666,SWAP001 @30204D,162900,F503A2000A00,1013,162,10,
16/12/2019 18:42:04.453,666,SWAP001 @30204D,162910,E903A1000600,1001,161,6,
16/12/2019 18:42:04.454,667,SWAP001 @30204D,162920,DD037900E7FF,989,121,-25,
16/12/2019 18:42:04.455,668,SWAP001 @30204D,162930,C0038D00E9FF,960,141,-23,
16/12/2019 18:42:04.500,713,SWAP001 @30204D,162940,D303AB000E00,979,171,14,
16/12/2019 18:42:04.502,715,SWAP001 @30204D,162950,EF03A8003100,1007,168,49,
16/12/2019 18:42:04.503,716,SWAP001 @30204D,162970,EE038E006A00,1006,142,106,
16/12/2019 18:42:04.502,715,SWAP001 @30204D,162960,F5039F004A00,1013,159,74,
16/12/2019 18:42:04.544,757,SWAP001 @30204D,162990,D70383009400,983,131,148,
16/12/2019 18:42:04.545,758,SWAP001 @30204D,163010,BD03E2006100,957,226,97,
16/12/2019 18:42:04.544,757,SWAP001 @30204D,163000,C003B9008300,960,185,131,
16/12/2019 18:42:04.544,757,SWAP001 @30204D,162980,E8037E008800,1000,126,136,
16/12/2019 18:42:04.548,761,SWAP001 @30204D,163020,B403F1005100,948,241,81,
16/12/2019 18:42:04.591,804,SWAP001 @30204D,163050,A503D000BD00,933,208,189,
16/12/2019 18:42:04.590,803,SWAP001 @30204D,163030,C403DF006900,964,223,105,
16/12/2019 18:42:04.591,804,SWAP001 @30204D,163040,C303D1008700,963,209,135,
16/12/2019 18:42:04.591,804,SWAP001 @30204D,163060,5D03CB001901,861,203,281,
16/12/2019 18:42:04.638,851,SWAP001 @30204D,163090,3204CC000000,1074,204,0,
16/12/2019 18:42:04.637,850,SWAP001 @30204D,163080,5C03B300C500,860,179,197,
16/12/2019 18:42:04.638,851,SWAP001 @30204D,163100,460408015CFF,1094,264,-164,
16/12/2019 18:42:04.637,851,SWAP001 @30204D,163110,41044D018100,1089,333,129,
16/12/2019 18:42:04.637,850,SWAP001 @30204D,163070,3403A5008F01,820,165,399,
16/12/2019 18:42:04.680,893,SWAP001 @30204D,163120,250424016801,1061,292,360,
16/12/2019 18:42:04.725,938,SWAP001 @30204D,163140,EA03EFFFF500,1002,-17,245,
16/12/2019 18:42:04.726,939,SWAP001 @30204D,163160,9E0211012902,670,273,553,
16/12/2019 18:42:04.726,938,SWAP001 @30204D,163150,A0039D000501,928,157,261,
16/12/2019 18:42:04.726,939,SWAP001 @30204D,163170,D20137016303,466,311,867,
16/12/2019 18:42:04.726,937,SWAP001 @30204D,163130,E40308006601,996,8,358,
16/12/2019 18:42:04.732,945,SWAP001 @30204D,163180,5A01F9000403,346,249,772,
16/12/2019 18:42:04.737,950,SWAP001 @30204D,163190,E4008D006A02,228,141,618,
16/12/2019 18:42:04.770,983,SWAP001 @30204D,163230,0003EDFEC503,768,-275,965,
16/12/2019 18:42:04.770,983,SWAP001 @30204D,163220,14023DFFEE03,532,-195,1006,
16/12/2019 18:42:04.770,983,SWAP001 @30204D,163240,9603F3FF7903,918,-13,889,
16/12/2019 18:42:04.770,983,SWAP001 @30204D,163210,1A018A00D403,282,138,980,
16/12/2019 18:42:04.821,1034,SWAP001 @30204D,163270,C3036B001F03,963,107,799,
16/12/2019 18:42:04.820,1033,SWAP001 @30204D,163260,2C042C028602,1068,556,646,
16/12/2019 18:42:04.817,1030,SWAP001 @30204D,163250,2A047701EC02,1066,375,748,
16/12/2019 18:42:04.821,1034,SWAP001 @30204D,163280,C50379FF4903,965,-135,841,
16/12/2019 18:42:04.824,1037,SWAP001 @30204D,163290,FC03C0FFEF02,1020,-64,751,
16/12/2019 18:42:04.862,1075,SWAP001 @30204D,163310,C803F401B802,968,500,696,
16/12/2019 18:42:04.863,1076,SWAP001 @30204D,163320,F5035701B102,1013,343,689,
16/12/2019 18:42:04.860,1073,SWAP001 @30204D,163300,E3031201EF02,995,274,751,
16/12/2019 18:42:04.866,1079,SWAP001 @30204D,163330,8E046E000003,1166,110,768,
16/12/2019 18:42:04.904,1117,SWAP001 @30204D,163340,9D050F00C902,1437,15,713,
16/12/2019 18:42:04.907,1120,SWAP001 @30204D,163360,BF086AFF8602,2239,-150,646,
16/12/2019 18:42:04.906,1119,SWAP001 @30204D,163350,14073E00C902,1812,62,713,
16/12/2019 18:42:04.907,1120,SWAP001 @30204D,163370,080B77003402,2824,119,564,
16/12/2019 18:42:04.907,1120,SWAP001 @30204D,163380,C40CE2FD9300,3268,-542,147,
16/12/2019 18:42:04.953,1166,SWAP001 @30204D,163420,FE139506E9FF,5118,1685,-23,
16/12/2019 18:42:04.953,1166,SWAP001 @30204D,163430,100DE716920C,3344,5863,3218,
16/12/2019 18:42:04.952,1165,SWAP001 @30204D,163390,640DCAFBC2FD,3428,-1078,-574,
16/12/2019 18:42:04.952,1165,SWAP001 @30204D,163400,430D18FC6FFA,3395,-1000,-1425,
16/12/2019 18:42:04.953,1166,SWAP001 @30204D,163410,170F7300A4FA,3863,115,-1372,
16/12/2019 18:42:04.995,1208,SWAP001 @30204D,163450,C00D0A065AFD,3520,1546,-678,
16/12/2019 18:42:04.995,1208,SWAP001 @30204D,163440,DCFA36120C0C,-1316,4662,3084,
16/12/2019 18:42:04.995,1208,SWAP001 @30204D,163460,240392018804,804,402,1160,
16/12/2019 18:42:04.995,1208,SWAP001 @30204D,163470,32FFE2FD2906,-206,-542,1577,
16/12/2019 18:42:05.038,1251,SWAP001 @30204D,163490,52036CFEEF00,850,-404,239,
16/12/2019 18:42:05.038,1251,SWAP001 @30204D,163480,25032CFE1703,805,-468,791,
16/12/2019 18:42:05.038,1251,SWAP001 @30204D,163500,7E02FCFDAE00,638,-516,174,
16/12/2019 18:42:05.042,1255,SWAP001 @30204D,163510,7C021BFEA100,636,-485,161,
16/12/2019 18:42:05.085,1298,SWAP001 @30204D,163530,BC0199FD18FF,444,-615,-232,
16/12/2019 18:42:05.085,1298,SWAP001 @30204D,163540,CF002EFD37FE,207,-722,-457,
16/12/2019 18:42:05.085,1298,SWAP001 @30204D,163560,39FEB0FC0FFD,-455,-848,-753,
16/12/2019 18:42:05.085,1298,SWAP001 @30204D,163550,8DFFE2FC8AFD,-115,-798,-630,
16/12/2019 18:42:05.084,1297,SWAP001 @30204D,163520,6802E0FDDAFF,616,-544,-38,
16/12/2019 18:42:05.129,1342,SWAP001 @30204D,163570,45FDB7FCBFFC,-699,-841,-833,
16/12/2019 18:42:05.129,1342,SWAP001 @30204D,163590,E2FCE8FD90FD,-798,-536,-624,
