Log start on,2019-12-16 18:53:55
Feature,Accelerometer
Nodes,SWAP001 @30204D, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
16/12/2019 18:53:55.996,53,SWAP001 @30204D,546830,A0FFF2FF2600,-9.6,-1.4,3.8,
16/12/2019 18:53:55.996,53,SWAP001 @30204D,546820,BAFFE6FF1500,-7.0,-2.6,2.1,
16/12/2019 18:53:55.996,53,SWAP001 @30204D,546840,9DFFF8FF3300,-9.9,-0.8,5.1,
16/12/2019 18:53:55.996,53,SWAP001 @30204D,546850,99FFF7FF4000,-10.3,-0.9,6.4,
16/12/2019 18:53:55.996,53,SWAP001 @30204D,546860,93FFF3FF5400,-10.9,-1.3,8.4,
16/12/2019 18:53:56.038,95,SWAP001 @30204D,546890,B6FFCBFFAE00,-7.4,-5.3,17.4,
16/12/2019 18:53:56.039,96,SWAP001 @30204D,546900,BFFFB5FFBA00,-6.5,-7.5,18.6,
16/12/2019 18:53:56.038,95,SWAP001 @30204D,546880,A3FFE7FF8100,-9.3,-2.5,12.9,
16/12/2019 18:53:56.038,95,SWAP001 @30204D,546870,9CFFEEFF6900,-10.0,-1.8,10.5,
16/12/2019 18:53:56.083,140,SWAP001 @30204D,546910,C7FFA5FFCF00,-5.7,-9.1,20.7,
16/12/2019 18:53:56.084,141,SWAP001 @30204D,546950,83FF5FFF0C01,-12.5,-16.1,26.8,
16/12/2019 18:53:56.084,141,SWAP001 @30204D,546940,ACFF74FFFE00,-8.4,-14.0,25.4,
16/12/2019 18:53:56.084,141,SWAP001 @30204D,546920,CFFF94FFE400,-4.9,-10.8,22.8,
16/12/2019 18:53:56.084,141,SWAP001 @30204D,546930,CCFF82FFED00,-5.2,-12.6,23.7,
16/12/2019 18:53:56.131,188,SWAP001 @30204D,546990,05FF36FF9301,-25.1,-20.2,40.3,
16/12/2019 18:53:56.131,188,SWAP001 @30204D,546980,16FF34FF6901,-23.4,-20.4,36.1,
16/12/2019 18:53:56.131,188,SWAP001 @30204D,546960,55FF4FFF2601,-17.1,-17.7,29.4,
16/12/2019 18:53:56.131,188,SWAP001 @30204D,546970,2CFF40FF4701,-21.2,-19.2,32.7,
16/12/2019 18:53:56.219,276,SWAP001 @30204D,547000,01FF46FFB601,-25.5,-18.6,43.8,
16/12/2019 18:53:56.223,280,SWAP001 @30204D,547020,EEFE57FFF601,-27.4,-16.9,50.2,
16/12/2019 18:53:56.225,282,SWAP001 @30204D,547040,E3FE54FF4402,-28.5,-17.2,58.0,
16/12/2019 18:53:56.224,281,SWAP001 @30204D,547030,EBFE58FF1C02,-27.7,-16.8,54.0,
16/12/2019 18:53:56.225,282,SWAP001 @30204D,547050,DCFE51FF6302,-29.2,-17.5,61.1,
16/12/2019 18:53:56.229,286,SWAP001 @30204D,547060,EDFE57FF6D02,-27.5,-16.9,62.1,
16/12/2019 18:53:56.222,279,SWAP001 @30204D,547010,FDFE52FFD501,-25.9,-17.4,46.9,
16/12/2019 18:53:56.264,321,SWAP001 @30204D,547110,1FFDB201ED01,-73.7,43.4,49.3,
16/12/2019 18:53:56.264,321,SWAP001 @30204D,547090,C5FD24004602,-57.1,3.6,58.2,
16/12/2019 18:53:56.264,321,SWAP001 @30204D,547100,23FDE0003402,-73.3,22.4,56.4,
16/12/2019 18:53:56.264,321,SWAP001 @30204D,547120,27FD5F021C01,-72.9,60.7,28.4,
16/12/2019 18:53:56.269,326,SWAP001 @30204D,547130,71FD410355FF,-65.5,83.3,-17.1,
16/12/2019 18:53:56.353,410,SWAP001 @30204D,547140,11FDAD04AFFC,-75.1,119.7,-84.9,
16/12/2019 18:53:56.354,411,SWAP001 @30204D,547160,23FCE006D9F9,-98.9,176.0,-157.5,
16/12/2019 18:53:56.354,411,SWAP001 @30204D,547170,11FDE20727FA,-75.1,201.8,-149.7,
16/12/2019 18:53:56.354,411,SWAP001 @30204D,547150,05FC0506CCFA,-101.9,154.1,-133.2,
16/12/2019 18:53:56.356,413,SWAP001 @30204D,547180,E4FCAD08ECF9,-79.6,222.1,-155.6,
16/12/2019 18:53:56.361,418,SWAP001 @30204D,547200,9DF90C0AC0F9,-163.5,257.2,-160.0,
16/12/2019 18:53:56.361,418,SWAP001 @30204D,547190,48FB8709B4F9,-120.8,243.9,-161.2,
16/12/2019 18:53:56.370,427,SWAP001 @30204D,547220,B6F8320A3DFA,-186.6,261.0,-147.5,
16/12/2019 18:53:56.398,455,SWAP001 @30204D,547250,E5FB8609B1FB,-105.1,243.8,-110.3,
16/12/2019 18:53:56.398,455,SWAP001 @30204D,547260,89FC0A09DDFB,-88.7,231.4,-105.9,
16/12/2019 18:53:56.398,455,SWAP001 @30204D,547240,37FBDC0979FB,-122.5,252.4,-115.9,
16/12/2019 18:53:56.398,455,SWAP001 @30204D,547230,7AF9310AB5FA,-167.0,260.9,-135.5,
16/12/2019 18:53:56.442,499,SWAP001 @30204D,547270,A1FD3F08F8FB,-60.7,211.1,-103.2,
16/12/2019 18:53:56.444,501,SWAP001 @30204D,547310,AB00BF03D6FB,17.1,95.9,-106.6,
16/12/2019 18:53:56.444,501,SWAP001 @30204D,547300,0E01C204CFFB,27.0,121.8,-107.3,
16/12/2019 18:53:56.444,501,SWAP001 @30204D,547280,F1FE3307F9FB,-27.1,184.3,-103.1,
16/12/2019 18:53:56.444,501,SWAP001 @30204D,547290,89001406EBFB,13.7,155.6,-104.5,
16/12/2019 18:53:56.489,546,SWAP001 @30204D,547330,0801CA0265FD,26.4,71.4,-66.7,
16/12/2019 18:53:56.489,546,SWAP001 @30204D,547320,0E01600273FC,27.0,60.8,-90.9,
16/12/2019 18:53:56.489,546,SWAP001 @30204D,547340,5002E201B5FE,59.2,48.2,-33.1,
16/12/2019 18:53:56.489,546,SWAP001 @30204D,547350,C100EEFE0EFF,19.3,-27.4,-24.2,
16/12/2019 18:53:56.534,591,SWAP001 @30204D,547370,FBFBCBFFAAFF,-102.9,-5.3,-8.6,
16/12/2019 18:53:56.534,591,SWAP001 @30204D,547400,19FAA6FD2F00,-151.1,-60.2,4.7,
16/12/2019 18:53:56.534,591,SWAP001 @30204D,547390,35F8EDFE8500,-199.5,-27.5,13.3,
16/12/2019 18:53:56.534,591,SWAP001 @30204D,547380,8EF9A8FFABFF,-165.0,-8.8,-8.5,
16/12/2019 18:53:56.534,591,SWAP001 @30204D,547360,40FF69FF64FE,-19.2,-15.1,-41.2,
16/12/2019 18:53:56.580,637,SWAP001 @30204D,547410,A4FC99FC4F00,-86.0,-87.1,7.9,
16/12/2019 18:53:56.581,638,SWAP001 @30204D,547430,22037AFB5402,80.2,-115.8,59.6,
16/12/2019 18:53:56.580,637,SWAP001 @30204D,547420,4201BAFBF001,32.2,-109.4,49.6,
16/12/2019 18:53:56.581,638,SWAP001 @30204D,547440,DC045BFBA002,124.4,-118.9,67.2,
16/12/2019 18:53:56.624,681,SWAP001 @30204D,547450,610663FBF202,163.3,-118.1,75.4,
16/12/2019 18:53:56.625,682,SWAP001 @30204D,547460,750719FB6803,190.9,-125.5,87.2,
16/12/2019 18:53:56.625,682,SWAP001 @30204D,547480,53062EF81105,161.9,-200.2,129.7,
16/12/2019 18:53:56.625,682,SWAP001 @30204D,547470,3D0742FA3C04,185.3,-147.0,108.4,
16/12/2019 18:53:56.626,683,SWAP001 @30204D,547490,0806F0F87D04,154.4,-180.8,114.9,
16/12/2019 18:53:56.669,726,SWAP001 @30204D,547500,E504DDF98904,125.3,-157.1,116.1,
16/12/2019 18:53:56.670,727,SWAP001 @30204D,547510,CA026CFA0705,71.4,-142.8,128.7,
16/12/2019 18:53:56.670,727,SWAP001 @30204D,547530,99FD67FA9B05,-61.5,-143.3,143.5,
16/12/2019 18:53:56.670,727,SWAP001 @30204D,547520,2F00AEFA7A05,4.7,-136.2,140.2,
16/12/2019 18:53:56.715,772,SWAP001 @30204D,547540,EAFAF7F8B805,-130.2,-180.1,146.4,
16/12/2019 18:53:56.716,773,SWAP001 @30204D,547570,F0F317F77102,-308.8,-228.1,62.5,
16/12/2019 18:53:56.716,773,SWAP001 @30204D,547580,32F305F69402,-327.8,-255.5,66.0,
16/12/2019 18:53:56.716,773,SWAP001 @30204D,547560,13F552F80704,-279.7,-196.6,103.1,
16/12/2019 18:53:56.716,773,SWAP001 @30204D,547550,B5F7FBF7C005,-212.3,-205.3,147.2,
16/12/2019 18:53:56.759,816,SWAP001 @30204D,547610,7A04BCFFA502,114.6,-6.8,67.7,
16/12/2019 18:53:56.760,817,SWAP001 @30204D,547620,480110001403,32.8,1.6,78.8,
16/12/2019 18:53:56.759,816,SWAP001 @30204D,547590,45F725F9D803,-223.5,-175.5,98.4,
16/12/2019 18:53:56.759,816,SWAP001 @30204D,547600,6F04DDFF7802,113.5,-3.5,63.2,
16/12/2019 18:53:56.804,861,SWAP001 @30204D,547630,89FE7900BD02,-37.5,12.1,70.1,
16/12/2019 18:53:56.805,862,SWAP001 @30204D,547660,76FB9802CF00,-116.2,66.4,20.7,
16/12/2019 18:53:56.805,862,SWAP001 @30204D,547670,9AFCE8021000,-87.0,74.4,1.6,
16/12/2019 18:53:56.805,862,SWAP001 @30204D,547640,C1FC54011102,-83.1,34.0,52.9,
16/12/2019 18:53:56.805,862,SWAP001 @30204D,547650,8CFB06027A01,-114.0,51.8,37.8,
16/12/2019 18:53:56.849,906,SWAP001 @30204D,547700,9AFFD5020BFF,-10.2,72.5,-24.5,
16/12/2019 18:53:56.849,906,SWAP001 @30204D,547710,90009F02B0FE,14.4,67.1,-33.6,
16/12/2019 18:53:56.849,906,SWAP001 @30204D,547690,FDFEFB023AFF,-25.9,76.3,-19.8,
16/12/2019 18:53:56.849,906,SWAP001 @30204D,547680,16FE12037EFF,-49.0,78.6,-13.0,
16/12/2019 18:53:56.896,953,SWAP001 @30204D,547720,81014D0272FE,38.5,58.9,-39.8,
16/12/2019 18:53:56.896,953,SWAP001 @30204D,547730,D001CE0175FE,46.4,46.2,-39.5,
16/12/2019 18:53:56.897,954,SWAP001 @30204D,547750,6C02A2009EFE,62.0,16.2,-35.4,
16/12/2019 18:53:56.896,953,SWAP001 @30204D,547740,28024A0191FE,55.2,33.0,-36.7,
16/12/2019 18:53:56.899,956,SWAP001 @30204D,547760,55022E0087FE,59.7,4.6,-37.7,
16/12/2019 18:53:56.943,1000,SWAP001 @30204D,547770,EA01B7FFACFE,49.0,-7.3,-34.0,
16/12/2019 18:53:56.943,1000,SWAP001 @30204D,547780,310157FFE8FE,30.5,-16.9,-28.0,
